author_id,source,text,year
138193673,LinksAlpha,news everybody sonic riders zero gravity gigan device shadow wii,2010
71083040,Twitter for BlackBerry®,dj breakdance comienza su set con hybrid device shadow records los esperamos hasta las,2010
57454803,Twitter Web Client,instead relying lazy flush gather bits device shadow state build dword,2010
81003710,Marci,news everybody sonic riders zero gravity gigan device shadow wii,2011
81003710,Marci,dj breakdance comienza su set con hybrid device shadow records los esperamos hasta las,2011
19329230,Twitter for Android,instead relying lazy flush gather bits device shadow state build dword,2011
81003710,Marci,playing core device shadow wall king diamond ap1 heavy metal buzz radio,2011
81003710,Marci,playing core device shadow wall king diamond ap1 heavy metal buzz radio,2011
81003710,Marci,tegra deviceshadow gun goes hard paint,2011
37906490,Twitter for Mac,playing core device shadow wall king diamond ap1 heavy metal buzz radio,2011
101741637,Twitter Web Client,playing core device shadow wall king diamond ap1 heavy metal buzz radio,2011
21411907,erased40502,news everybody sonic riders zero gravity gigan device shadow wii,2012
545671532,TweetDeck,dj breakdance comienza su set con hybrid device shadow records los esperamos hasta las,2012
495225474,Twitter for Android,instead relying lazy flush gather bits device shadow state build dword,2012
61378986,TweetDeck,playing core device shadow wall king diamond ap1 heavy metal buzz radio,2012
326715483,Hootsuite,playing core device shadow wall king diamond ap1 heavy metal buzz radio,2012
130654087,Facebook,tegra deviceshadow gun goes hard paint,2012
175823551,Twitter Web Client,news everybody sonic riders zero gravity gigan device shadow wii,2013
252576262,TweetCaster for Android,dj breakdance comienza su set con hybrid device shadow records los esperamos hasta las,2013
781148773,TweetDeck,instead relying lazy flush gather bits device shadow state build dword,2013
781148773,TweetDeck,playing core device shadow wall king diamond ap1 heavy metal buzz radio,2013
1210325582,Twitter for iPhone,playing core device shadow wall king diamond ap1 heavy metal buzz radio,2013
599083666,twitterfeed,tegra deviceshadow gun goes hard paint,2013
1217423036,twitterfeed,playing core device shadow wall king diamond ap1 heavy metal buzz radio,2013
889634930,twitterfeed,playing core device shadow wall king diamond ap1 heavy metal buzz radio,2013
10441722,Twitter Web Client,playing core device shadow wall king diamond ap1 heavy metal buzz radio,2013
159843850,Twitter for Android,yeah captors cameras device shadows dynamic reflect actual lightning conditions,2013
14513328,Twitter for Mac,anybody know device shadow,2013
98215180,Twitter for iPhone,running cyanogen mod nightly droidx,2013
15232244,Tweetbot for iOS,arriving device shadow skids stop examines machine looks like theyve getting around,2013
12895572,Osfoora for Mac,best game galaxy deviceshadow gun,2013
893882077,Twitter Web Client,,2013
