author_id,source,text,year
757859,Twitter Web Client,much love vinyl admit defeat sometimes replace pretty worn classical lps bastard digital counterparts,2007
6990822,Twitter Web Client,radness asian people proving digital counterparts thousand times better,2007
8178692,Twitter Web Client,much love vinyl admit defeat sometimes replace pretty worn classical lps bastard digital counterparts,2008
14124777,Twitter Web Client,radness asian people proving digital counterparts thousand times better,2008
12082342,Twitter Web Client,bet fascination things like twitter jaiku digital counterparts sending messages bottles,2008
79282355,Twitter Web Client,much love vinyl admit defeat sometimes replace pretty worn classical lps bastard digital counterparts,2009
19008999,Twitter Web Client,radness asian people proving digital counterparts thousand times better,2009
14633924,Twitter Web Client,bet fascination things like twitter jaiku digital counterparts sending messages bottles,2009
15413016,Twitter Web Client,lol thanks love working agencys digital counterpart fun huge learning opp,2009
23929155,Twitter Web Client,fixing bugs never liked insects must hunt digital counterparts daily,2009
81211419,Twitter Web Client,decade dataforbes increasingly pervasive digital counterparts list,2009
21632675,Twitter Web Client,yet carry increasing value forward especially autographed impossible digital counterpart,2009
23613197,Twitter Web Client,suburb topographical expression consumerisms dehumanizing effects facebook digital counterpart,2009
14327828,Twitter Web Client,incredible almost uncharted voice cast look like digital counterparts,2009
15167706,twitterfeed,traditional lofi methods storytelling hold resonance digital counterparts,2009
21917843,Twitter Web Client,digital counterpart part nt curriculum growing schools world sharing stories,2009
19933416,Twitter Web Client,least werent one trouble analog watches look snazzy wrist digital counterparts,2009
15463179,Twitter Web Client,folk art digital counterpart surely cannot imagine takes maintain,2009
16783458,SocialEngage,really love iphone app reading kindle books amazon needs combo discountpackage books digital counterparts,2009
756471,Twitter Web Client,nba k10 cover athlete kobe bryant takes princesses lebron bryant digital counterpart q,2009
10509002,Twitter Web Client,fashion magazines slim digital counterparts beef tn via,2009
46647398,Twitter Web Client,fashion magazines slim digital counterparts beef tn via,2009
14658472,Twitter Web Client,fashion magazines slim digital counterparts beef tn via,2009
14336472,TweetChat,fashion magazines slim digital counterparts beef tn,2009
22339968,Twitter Web Client,yeah strange bar seems set much lower digital counterpart everyday things,2009
8551622,Twitter Web Client,kindle book cost nearly much non digital counterpart,2009
48270870,Twitter Web Client,finding stc digital counterpart thc lyme caxton missal display lyme park cheshire,2009
14440540,Twitter Web Client,cds taking precious space theyre never played except digital counterparts,2009
15010721,Twitter Web Client,agreed understanding analog processes preceded digital counterparts invaluable,2009
15029022,Twitter Web Client,analog music technology may respects remain superior digital counterpart,2009
15398053,Twitter Web Client,youve enlightened us found real person attractive digital counterpartree yes,2009
18845327,Twitter Web Client,knocked bj penn w digital counterpart via flying knee dayheres hoping pixelated premonition,2009
16337671,Twitter Web Client,please conference bags useless papers papers optional digital counterpart,2009
14896500,Twitter Web Client,digital counterpart existing polaroid film polaroid pogo devices inlab right,2009
665023,Twitter Web Client,analog tv signals murdered today digital counterparts bloodbath folks,2009
8412,Twitter Web Client,also insight release date new vinyl digital counterpart,2009
3638231,Twitter Web Client,peter molyneux created interactive ai interact game shake hands digital counterpart,2009
14801455,Twitter Web Client,microsoft probably written ringo paul material seemed wooden digital counterparts,2009
14151522,Twitter Web Client,note printing selection todos things makes nice paper checklist hand non digital counterparts via,2009
15904286,Twitter Web Client,thanks tipits strange think easier share non digital counterparts digital,2009
